Temperature,U,kp_label,linear_pre,res
1000.0,74.27077077328411,-0.579818495252942,-3.290319200919806,2.7105007056668637
1100.0,110.44185868413543,3.6686767467964168,-1.4847593159082626,5.15343606270468
1000.0,61.770973234494384,0.5481214085096876,-3.9142742520487497,4.462395660558437
1100.0,96.34851510751373,5.3748153375207615,-2.1882597433864017,7.563075080907163
1000.0,51.007591927294875,1.3609765531356006,-4.451552244993286,5.812528798128886
1100.0,83.53404293661427,4.409155302062135,-2.827922475024387,7.237077777086522
1150.0,166.24210633362918,-1.2201021862558195,1.3006335088237364,-2.520735695079556
900.0,56.36157811955961,-5.395709712556686,-4.184296178007287,-1.2114135345493988
1000.0,81.01224219507904,-5.039034768617954,-2.953803738759957,-2.0852310298579972
1100.0,128.05742401593287,-1.0540518055727837,-0.6054393962728968,-0.4486124092998869
900.0,81.25453084798507,-6.446119059071137,-2.9417093645636703,-3.5044096945074665
1000.0,113.12417056245343,-3.3863130351873565,-1.3508657836341609,-2.0354472515531956
1100.0,167.9109662368251,-0.41066216745653267,1.3839383434015975,-1.7946005108581302
1000.0,102.47283492204927,-5.710203042459124,-1.8825507692090069,-3.8276522732501173
1000.0,121.86418659337565,-4.793912310584969,-0.9145885453413971,-3.879323765243572
980.0,83.23732006951599,0.23680974207802444,-2.842734053462909,3.0795437955409333
950.0,75.70240088579928,-0.16298962849446264,-3.2188562162370458,3.055866587742583
900.0,100.07714078303042,-1.6873994539038122,-2.0021371428572277,0.3147376889534155
980.0,113.48625368735645,-0.6539264674066639,-1.3327916033115832,0.6788651359049193
1000.0,118.04313732927483,0.26236426446749106,-1.1053246737906495,1.3676889382581405
1100.0,155.74267098030361,0.9516578757114463,0.7765309621721199,0.1751269135393264
1000.0,114.30227377468432,0.2700271372130602,-1.2920581551312535,1.5620852923443138
1100.0,154.69562923224206,1.0331844833456545,0.7242655566390681,0.3089189267065864
1100.0,95.16336267426497,-0.5330712327133105,-2.2474192493534817,1.7143480166401712
1100.0,59.4751372663296,-0.31361545447828537,-4.028875984153174,3.715260529674889
900.0,72.06516871507678,-4.432898965047638,-3.4004167077576732,-1.0324822572899648
1000.0,97.9340559114588,-5.156817804274337,-2.109113965999006,-3.047703838275331
1100.0,136.28715813696692,-4.7513526961661725,-0.19463400855902524,-4.556718687607147
1050.0,115.51035742505611,-2.273414715694266,-1.231753986723998,-1.041660728970268
980.0,91.6937591853049,-2.641139495819583,-2.420612184329679,-0.22052731148990423
900.0,26.52657447626464,-2.7936080894638566,-5.67357639762009,2.8799683081562337
1000.0,181.4075190978915,-4.475664134188197,2.057648641857085,-6.533312776045282
900.0,159.45929908439157,-2.922511552033586,0.9620546773776715,-3.8845662294112575
1197.087973,188.983447373182,-1.1090921713090791,2.4358178641736075,-3.544910035482687
1297.675374,250.62012294630773,0.7876861539701421,5.512548902360605,-4.724862748390462
1135.520933,153.35645737148502,-2.705478710220735,0.6574178301654126,-3.3628965403861475
1097.608701,136.33578896863523,-3.246183303242185,-0.1922064929960028,-3.053976810246182
1098.648565,136.75706189599978,-3.834102424797318,-0.17117772272054133,-3.6629247020767766
1049.961853,119.21727800890847,-4.391978066327655,-1.046714843869811,-3.3452632224578442
941.11273,92.5128332423111,-6.75222612112101,-2.3797262904956593,-4.372499830625351
947.8780568,93.80232751627652,-7.048328550395707,-2.3153583306830496,-4.732970219712658
1039.396103,115.96088969364344,-4.426311618425803,-1.2092646716923516,-3.2170469467334515
1090.371704,133.45787476626663,-3.7311104407976114,-0.33586394806366915,-3.3952464927339423
950.0,70.37496173971519,-2.3814173052795033,-3.484787128675095,1.1033698233955915
1000.0,91.85761493578313,-7.250945833043306,-2.412432961998266,-4.83851287104504
900.0,69.85286996921074,-6.8834676264257935,-3.5108484945770777,-3.3726191318487158
1100.0,112.72610717603933,-1.500815058991668,-1.370735998319783,-0.1300790606718849
1100.0,80.71874190975912,-2.7048337942888345,-2.9684544548987466,0.26362066060991207
1100.0,136.94486460995964,-1.5042052104440928,-0.16180313472202812,-1.3424020757220647
1150.0,141.9486723104708,3.3709937088796256,0.08797299804517067,3.283020710834455
1000.0,102.47283492204927,-5.649294289372131,-1.8825507692090069,-3.766743520163124
900.0,77.14485513703642,-3.9240955866624154,-3.146852920720551,-0.7772426659418645
1150.0,160.53656484078383,1.5506082994125094,1.0158287811600175,0.5347795182524919
900.0,72.89893826261222,-4.737745464406937,-3.358797255998729,-1.3789482084082083
1100.0,126.70688373710941,-2.0945385867341435,-0.6728546024880355,-1.421683984246108
1000.0,92.2228623335092,-1.6143649604249093,-2.394200829996474,0.7798358695715646
1000.0,102.26611386380021,1.8055570920634716,-1.892869708221335,3.698426800284807
1000.0,103.56674949585091,0.7770827499745558,-1.8279456028685939,2.6050283528431497
900.0,26.52657447626464,-5.40060239414908,-5.67357639762009,0.27297400347101064
900.0,53.354757280058365,-2.7397552410149935,-4.334388293085515,1.5946330520705212
