alloy,Temperature,Ni,Al,Co,Cr,Mo,Re,Ru,Ti,Ta,W,Hf,Nb,Si,C,Y,Ce,B,Ni_a,Al_a,Co_a,Cr_a,Mo_a,Re_a,Ru_a,Ti_a,Ta_a,W_a,Hf_a,Ni_A1,Al_A1,Co_A1,Cr_A1,Mo_A1,Re_A1,Ru_A1,Ti_A1,Ta_A1,W_A1,Hf_A1,Ni_L12,Al_L12,Co_L12,Cr_L12,Mo_L12,Re_L12,Ru_L12,Ti_L12,Ta_L12,W_L12,Hf_L12,gamapie,k(g2/m4/h),CE_avg,CE_var,PE_avg,PE_var,IE_avg,IE_var,VE_avg,VE_var,a_r_avg,a_r_var,i_r_avg,i_r_var,ion_v_avg,ion_v_var,e_a_con_avg,e_a_con_var,Val_eff_c,Val_eff_γ,Val_eff_γ',G_al2O3,D_Ni,D_Ni3Al,classify_label
,1000.0,0.6041699326202068,0.13834315221988971,0.12667565745435685,0.05981567703353566,0.00648340845386942,0.016704700353081924,0.0,0.0,0.02750450054819369,0.020302971316865884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000721029,6.74e-08,0.000518684,0.001514625,0.000255282,0.000369276,2.99e-14,2.73e-18,1.82e-08,0.000920124,3.47e-20,0.213446301,0.032515496,0.097009817,0.047695641,0.005013196,0.014102542,0.0,0.0,0.00243206,0.013714946,0.0,0.390264211,0.105817766,0.028720176,0.011522227,0.001337808,0.001087325,0.0,0.0,0.025065398,0.005465088,0.0,0.56928,0.56,4.531867251332913,1.0895118299575,1.8490561623297852,0.15951524484610807,714.3010347093162,63.88476559185481,1.4245225607876593,0.4716227239998887,0.1493216190893954,0.017277928061732156,68.52963533244086,8.501904998772497,2.5646076084945504,1.0729861933645872,1.4073701931591238,0.6974771654178944,-0.43539239150544967,-0.12419267100000002,-0.31755007700000004,-598.0286129226104,3.083846236515758e-19,4.7592289581041404e-08,1
,1100.0,0.6041699326202068,0.13834315221988971,0.12667565745435685,0.05981567703353566,0.00648340845386942,0.016704700353081924,0.0,0.0,0.02750450054819369,0.020302971316865884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000594741,1.62e-07,0.000345979,0.001046479,0.000206338,0.000301244,1.57e-14,4.3e-18,4.44e-08,0.000752977,7.24e-20,0.302741982,0.05618163,0.105204444,0.050686876,0.005600852,0.015440036,0.0,0.0,0.006444051,0.016115713,0.0,0.301438166,0.082153404,0.021470106,0.009136497,0.00088318,0.001262947,0.0,0.0,0.021059427,0.004190689,0.0,0.44159,39.2,4.531867251332913,1.0895118299575,1.8490561623297852,0.15951524484610807,714.3010347093162,63.88476559185481,1.4245225607876593,0.4716227239998887,0.1493216190893954,0.017277928061732156,68.52963533244086,8.501904998772497,2.5646076084945504,1.0729861933645872,1.4073701931591238,0.6974771654178944,-0.43539239150544967,-0.19382411300000002,-0.24157181100000005,-569.8045355385448,1.62275911267902e-18,3.1592603459467923e-06,3
,1000.0,0.5922188994756301,0.1392716414971039,0.12752584040698667,0.060217129608843956,0.006526921812735562,0.016816813854242135,0.009294421904600432,0.0,0.027689096846776926,0.02043923459308019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000689233,7.69e-08,0.000512962,0.001485486,0.00024853,0.000336573,0.000438748,3.1e-18,2.03e-08,0.000952564,3.8e-20,0.198047187,0.030199879,0.097059458,0.048228354,0.005038163,0.013642946,0.007860698,0.0,0.00201194,0.01359722,0.0,0.39355113,0.109057658,0.028987455,0.010894808,0.001240013,0.000974708,0.001188105,0.0,0.025665375,0.005196518,0.0,0.57675,1.73,4.553941017827945,1.11551974840755,1.8513425204631306,0.1624732253436196,713.8979996345464,64.15122903386431,1.4292672398238704,0.4756515778184272,0.14959331586931324,0.017559811155911827,68.58999379690587,8.574401414756288,2.586985813048455,1.0937111126497527,1.4079150861713166,0.6999094270627367,-0.41301418695154446,-0.10297056799999998,-0.31977326600000006,-599.8896037408903,2.5746974068165583e-19,3.713060605025933e-08,1
,1100.0,0.5922188994756301,0.1392716414971039,0.12752584040698667,0.060217129608843956,0.006526921812735562,0.016816813854242135,0.009294421904600432,0.0,0.027689096846776926,0.02043923459308019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000567654,1.84e-07,0.00034109,0.001032427,0.000202288,0.000290516,0.000291553,4.93e-18,5.05e-08,0.000792669,8e-20,0.285503329,0.053821613,0.10575821,0.051366708,0.005698888,0.015606186,0.008104476,0.0,0.005759165,0.016351425,0.0,0.306724957,0.085442711,0.021765245,0.008855268,0.000827215,0.00120692,0.001193359,0.0,0.021932496,0.004086351,0.0,0.45203,215.9,4.553941017827945,1.11551974840755,1.8513425204631306,0.1624732253436196,713.8979996345464,64.15122903386431,1.4292672398238704,0.4756515778184272,0.14959331586931324,0.017559811155911827,68.58999379690587,8.574401414756288,2.586985813048455,1.0937111126497527,1.4079150861713166,0.6999094270627367,-0.41301418695154446,-0.16851721200000003,-0.24451206800000005,-571.7428740009876,1.3204774825405152e-18,2.354089403908514e-06,3
,1000.0,0.5801063638263171,0.14021267808651078,0.12838751246475685,0.06062400728804585,0.006571023197453642,0.01693044242201066,0.01871444570482864,0.0,0.02787618772170562,0.02057733928837065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000658683,8.72e-08,0.000508364,0.001483566,0.000241936,0.000292948,0.00081156,3.49e-18,2.28e-08,0.001023342,4.2e-20,0.182352778,0.028061962,0.094808572,0.047944016,0.004913542,0.01217391,0.014216888,0.0,0.001727136,0.013605194,0.0,0.396763408,0.1121354,0.02976632,0.01061412,0.0011696,0.00084796,0.002204696,0.0,0.026134712,0.00517548,0.0,0.5848,3.9,4.576313082263817,1.1412745406797233,1.853659775721503,0.1654172164083292,713.489518070483,64.42016876417772,1.4340760369609387,0.47970035146978446,0.1498686842740985,0.01784095973434629,68.65116792668412,8.64725737940501,2.609666429623416,1.114322866913025,1.4084673426963723,0.7023659632630788,-0.39033357037658306,-0.08477758999999999,-0.321558128,-601.663622748593,2.457701693507532e-19,2.892294968319444e-08,3
,1100.0,0.5801063638263171,0.14021267808651078,0.12838751246475685,0.06062400728804585,0.006571023197453642,0.01693044242201066,0.01871444570482864,0.0,0.02787618772170562,0.02057733928837065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000542416,2.08e-07,0.000337719,0.00101641,0.000197162,0.000273389,0.000581794,5.65e-18,5.71e-08,0.000815054,8.79e-20,0.26882975,0.051610673,0.105927523,0.051846926,0.005739889,0.015329637,0.016231696,0.0,0.005165363,0.016253174,0.0,0.311148634,0.088591091,0.022196226,0.008601614,0.000775253,0.001135192,0.002390363,0.0,0.022703832,0.003913181,0.0,0.46146,82.2,4.576313082263817,1.1412745406797233,1.853659775721503,0.1654172164083292,713.489518070483,64.42016876417772,1.4340760369609387,0.47970035146978446,0.1498686842740985,0.01784095973434629,68.65116792668412,8.64725737940501,2.609666429623416,1.114322866913025,1.4084673426963723,0.7023659632630788,-0.39033357037658306,-0.14562886499999997,-0.24701492099999997,-573.6091051496851,1.1066102127284388e-18,1.7996618444636038e-06,3
MC2,1150.0,0.66585780257283,0.11210917166310383,0.053380174266576666,0.09074116354411624,0.013239982174232699,0.0,0.0,0.0189557475546514,0.01939128066599883,0.026324677558490352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000629206,1.4e-07,0.000124795,0.001458568,0.000379351,9.79e-15,1.08e-14,9.64e-08,3.34e-08,0.00099597,1.41e-19,0.431735096,0.060576977,0.046546576,0.080431571,0.012265697,0.0,0.0,0.009823294,0.007521798,0.022088991,0.0,0.234126806,0.051526256,0.006833538,0.010314464,0.00098045,0.0,0.0,0.009130028,0.011867391,0.004231069,0.0,0.32901,0.2952,4.512817894641021,0.9992569957621892,1.8522726011636408,0.1667997378286205,711.9569556998284,60.99722654581763,1.459655852951152,0.4605709315884628,0.15042924156115212,0.016489935675090366,68.8384916517687,7.728215170014764,2.5105744855119885,1.0675249792908645,1.3564088346343317,0.6290541921108437,-0.4894255144880119,-0.303804142,-0.18562743899999995,-547.2015794097672,9.928150206271561e-18,0.00017529930375991196,0
DD32,900.0,0.6317722727733996,0.13642085884348637,0.09368661390456294,0.05308607843649897,0.011507977399470334,0.013178069357670111,0.0,0.0,0.013561161237969353,0.028362883992037215,0.0,0.01056515183809763,0.0,0.007667989107494296,2.070098296736368e-05,0.0,0.0001702421263458493,0.001163241,1.12e-08,0.000530867,0.001716937,0.000371279,0.000528332,5.62e-14,7.22e-19,1.9e-09,0.00109762,8.550000000000001e-21,0.147187114,0.013777344,0.043051667,0.027932045,0.00366214,0.007696571,0.0,0.0,0.00051665,0.009439,0.0,0.501852682,0.122644643,0.049038699,0.024184073,0.007575024,0.002144292,0.0,0.0,0.013042599,0.016387989,0.0,0.73687,0.004536,4.5774762487240706,1.1445966269877073,1.8645802234229962,0.1690934919433588,715.7808182049052,70.66198385066824,1.424865919333086,0.49667757013225694,0.14875950093144538,0.018828713181975102,68.00984370952249,9.829185791642816,2.5701170653760914,1.13478177412734,1.4296914063180675,0.732519348021319,-0.4298829346239085,-0.09145725200000002,-0.39958986100000005,-616.2614433195478,2.610333743509406e-19,3.341993132812499e-10,2
DD32,1000.0,0.6317722727733996,0.13642085884348637,0.09368661390456294,0.05308607843649897,0.011507977399470334,0.013178069357670111,0.0,0.0,0.013561161237969353,0.028362883992037215,0.0,0.01056515183809763,0.0,0.007667989107494296,2.070098296736368e-05,0.0,0.0001702421263458493,0.000912435,3.91e-08,0.000357903,0.001208709,0.000353318,0.000402823,2.83e-14,1.5e-18,5.18e-09,0.000992745,2.15e-20,0.217963259,0.027755034,0.054295716,0.033983597,0.005863894,0.009948198,0.0,0.0,0.001323752,0.013532904,0.0,0.431892825,0.108666133,0.039057033,0.018927347,0.005568728,0.002379366,0.0,0.0,0.012238545,0.014080022,0.0,0.63281,0.00648,4.5774762487240706,1.1445966269877073,1.8645802234229962,0.1690934919433588,715.7808182049052,70.66198385066824,1.424865919333086,0.49667757013225694,0.14875950093144538,0.018828713181975102,68.00984370952249,9.829185791642816,2.5701170653760914,1.13478177412734,1.4296914063180675,0.732519348021319,-0.4298829346239085,-0.13722896499999998,-0.343710753,-590.3436070881905,1.7002621107988421e-18,2.7657644458749826e-08,0
DD32,1100.0,0.6317722727733996,0.13642085884348637,0.09368661390456294,0.05308607843649897,0.011507977399470334,0.013178069357670111,0.0,0.0,0.013561161237969353,0.028362883992037215,0.0,0.01056515183809763,0.0,0.007667989107494296,2.070098296736368e-05,0.0,0.0001702421263458493,0.000729618,1.08e-07,0.00024385,0.000831021,0.000312534,0.000273573,1.46e-14,2.35e-18,1.21e-08,0.000853038,4.7e-20,0.338494244,0.055393242,0.06887996,0.041011412,0.008356198,0.011347182,0.0,0.0,0.003422166,0.018895596,0.0,0.311685666,0.08102928,0.024812946,0.01208172,0.003152148,0.001834968,0.0,0.0,0.010137744,0.009465528,0.0,0.4542,0.348522738,4.5774762487240706,1.1445966269877073,1.8645802234229962,0.1690934919433588,715.7808182049052,70.66198385066824,1.424865919333086,0.49667757013225694,0.14875950093144538,0.018828713181975102,68.00984370952249,9.829185791642816,2.5701170653760914,1.13478177412734,1.4296914063180675,0.732519348021319,-0.4298829346239085,-0.22720016599999998,-0.24988721399999997,-563.6326164300992,5.70991287848881e-18,6.10223271794997e-06,2
